program,value,vote,year,text
0741010 Economic and Commercial Cooperation,81941701,1052 Ministry of Foreign Affairs,2018,1052 Ministry of Foreign Affairs 0741010 Economic and Commercial Cooperation
0741000 Economic and Commercial Diplomacy,81941701,1052 Ministry of Foreign Affairs,2018,1052 Ministry of Foreign Affairs 0741000 Economic and Commercial Diplomacy
0742010 Foreign Policy Research and Analysis,130394616,1052 Ministry of Foreign Affairs,2018,1052 Ministry of Foreign Affairs 0742010 Foreign Policy Research and Analysis
0742020 Regional Technical Cooperation,2e+08,1052 Ministry of Foreign Affairs,2018,1052 Ministry of Foreign Affairs 0742020 Regional Technical Cooperation
"0742000 Foreign Policy Research, Capacity Dev and Technical Cooperation",330394616,1052 Ministry of Foreign Affairs,2018,"1052 Ministry of Foreign Affairs 0742000 Foreign Policy Research, Capacity Dev and Technical Cooperation"
0505010 Technical Accreditation and Quality Assurance,8.5e+08,1064 State Department for Vocational and Technical Training,2018,1064 State Department for Vocational and Technical Training 0505010 Technical Accreditation and Quality Assurance
0505020 Technical Trainers and Instructor Services,6435748579,1064 State Department for Vocational and Technical Training,2018,1064 State Department for Vocational and Technical Training 0505020 Technical Trainers and Instructor Services
0505030 Special Needs in Technical and Vocational Education,160451052,1064 State Department for Vocational and Technical Training,2018,1064 State Department for Vocational and Technical Training 0505030 Special Needs in Technical and Vocational Education
0505040 Infrastructure Development and Expansion,6.338e+09,1064 State Department for Vocational and Technical Training,2018,1064 State Department for Vocational and Technical Training 0505040 Infrastructure Development and Expansion
0505000 Technical Vocational Education and Training,13784199631,1064 State Department for Vocational and Technical Training,2018,1064 State Department for Vocational and Technical Training 0505000 Technical Vocational Education and Training
0507010 Revitalization of Youth Polytechnics,2051738816,1064 State Department for Vocational and Technical Training,2018,1064 State Department for Vocational and Technical Training 0507010 Revitalization of Youth Polytechnics
0507000 Youth Training and Development,2051738816,1064 State Department for Vocational and Technical Training,2018,1064 State Department for Vocational and Technical Training 0507000 Youth Training and Development
0508010 Headquarters Administrative Services,174217966,1064 State Department for Vocational and Technical Training,2018,1064 State Department for Vocational and Technical Training 0508010 Headquarters Administrative Services
"0508000 General Administration, Planning and Support Services",174217966,1064 State Department for Vocational and Technical Training,2018,"1064 State Department for Vocational and Technical Training 0508000 General Administration, Planning and Support Services"
0504010 University Education,87413027242,1065 State Department for University Education,2018,1065 State Department for University Education 0504010 University Education
0504020 Quality Assurance and Standards,184970487,1065 State Department for University Education,2018,1065 State Department for University Education 0504020 Quality Assurance and Standards
0504030 Higher Education Support Services,10149049290,1065 State Department for University Education,2018,1065 State Department for University Education 0504030 Higher Education Support Services
0504000 University Education,97747047019,1065 State Department for University Education,2018,1065 State Department for University Education 0504000 University Education
0506010 Research Management and Development,2214830483,1065 State Department for University Education,2018,1065 State Department for University Education 0506010 Research Management and Development
0506020 Knowledge and Innovation Development and Commercialization,37797480,1065 State Department for University Education,2018,1065 State Department for University Education 0506020 Knowledge and Innovation Development and Commercialization
0506030 Science and Technology Development and Promotion,236081804,1065 State Department for University Education,2018,1065 State Department for University Education 0506030 Science and Technology Development and Promotion
"0506000 Research, Science, Technology and Innovation",2488709767,1065 State Department for University Education,2018,"1065 State Department for University Education 0506000 Research, Science, Technology and Innovation"
0508010 Headquarters Administrative Services,253036983,1065 State Department for University Education,2018,1065 State Department for University Education 0508010 Headquarters Administrative Services
"0508000 General Administration, Planning and Support Services",253036983,1065 State Department for University Education,2018,"1065 State Department for University Education 0508000 General Administration, Planning and Support Services"
0501010 Free Primary Education,18110013974,1066  State Department for Early Learning & Basic Education,2018,1066  State Department for Early Learning & Basic Education 0501010 Free Primary Education
0501020 Special Needs Education,1001293790,1066  State Department for Early Learning & Basic Education,2018,1066  State Department for Early Learning & Basic Education 0501020 Special Needs Education
0501040 Early Child Development and Education,24548547,1066  State Department for Early Learning & Basic Education,2018,1066  State Department for Early Learning & Basic Education 0501040 Early Child Development and Education
0501050 Primary Teachers Training and In-servicing,657384101,1066  State Department for Early Learning & Basic Education,2018,1066  State Department for Early Learning & Basic Education 0501050 Primary Teachers Training and In-servicing
0501060 Alternative Basic Adult & Continuing Education,84997783,1066  State Department for Early Learning & Basic Education,2018,1066  State Department for Early Learning & Basic Education 0501060 Alternative Basic Adult & Continuing Education
"0501070 School Health, Nutrition and Meals",841671777,1066  State Department for Early Learning & Basic Education,2018,"1066  State Department for Early Learning & Basic Education 0501070 School Health, Nutrition and Meals"
0501000 Primary Education,20719909972,1066  State Department for Early Learning & Basic Education,2018,1066  State Department for Early Learning & Basic Education 0501000 Primary Education
0502010 Secondary Bursary Management Services,81225051,1066  State Department for Early Learning & Basic Education,2018,1066  State Department for Early Learning & Basic Education 0502010 Secondary Bursary Management Services
0502020 Free Day Secondary Education,68134906152,1066  State Department for Early Learning & Basic Education,2018,1066  State Department for Early Learning & Basic Education 0502020 Free Day Secondary Education
0502030 Secondary Teachers Education Services,695620000,1066  State Department for Early Learning & Basic Education,2018,1066  State Department for Early Learning & Basic Education 0502030 Secondary Teachers Education Services
0502040 Secondary Teachers In-Service,222433300,1066  State Department for Early Learning & Basic Education,2018,1066  State Department for Early Learning & Basic Education 0502040 Secondary Teachers In-Service
0502050 Special Needs education,2e+08,1066  State Department for Early Learning & Basic Education,2018,1066  State Department for Early Learning & Basic Education 0502050 Special Needs education
0502000 Secondary Education,69334184503,1066  State Department for Early Learning & Basic Education,2018,1066  State Department for Early Learning & Basic Education 0502000 Secondary Education
0503010 Curriculum Development,1215048540,1066  State Department for Early Learning & Basic Education,2018,1066  State Department for Early Learning & Basic Education 0503010 Curriculum Development
0503020 Examination and Certification,1.519e+09,1066  State Department for Early Learning & Basic Education,2018,1066  State Department for Early Learning & Basic Education 0503020 Examination and Certification
0503030 Co-Curriculum Activities,1485793467,1066  State Department for Early Learning & Basic Education,2018,1066  State Department for Early Learning & Basic Education 0503030 Co-Curriculum Activities
